date,title,description,start_time,end_time,location,image
2026-08-25,Introduction to the Club & CTF Basics,"Overview of the club and basic team roles, followed by a simple introductory CTF game covering foundational computer science and light security concepts.",,,,covers/01-intro-ctf-basics.png
2026-08-27,Introduction to Cyber Competitions,"A look at how a typical team defense competition works using examples from past events. Covers team structure and basic roles.",,,,covers/02-intro-cyber-competitions.png
2026-09-01,Virtualization & Introduction to the Command Line,"Why we use the command line, basic Linux navigation, and text editing. Setting up local VMs and using online practice labs like OverTheWire.",,,,covers/03-virtualization-cli.png
2026-09-03,Understanding File Systems,"Command line practice using the club's practice range. Finding configuration files and system logs, and comparing how Linux and Windows organize files.",,,,covers/04-file-systems.png
2026-09-08,Remote Access Basics: SSH & RDP,"How developers and admins log into servers remotely, covering SSH keys and remote desktop connections, and their vulnerabilities.",,,,covers/05-remote-access-ssh-rdp.png
2026-09-10,Basic Networking & Communication,"Introduction to IP addresses, subnets, and local networks. Mapping basic network blocks using tools like nmap, Packet Tracer, and Wireshark.",,,,covers/06-basic-networking.png
2026-09-15,Operating System Permissions & Access Control,"Understanding user accounts, groups, administration rights (sudo), and file permissions on both Linux and Windows.",,,,covers/07-os-permissions.png
2026-09-17,Basic Host Hardening,"Reviewing user account lists, removing unnecessary accounts, and locking down permissions on practice hosts.",,,,covers/08-basic-host-hardening.png
2026-09-22,System Services & Background Processes,"A look at Windows services, the registry, Linux system processes, and scheduled tasks.",,,,covers/09-system-services-guest-ryan-hays.png
2026-09-24,Finding Unwanted Processes,"Searching for simple backdoors, checking active system tasks, disabling unneeded services, and cleaning up unauthorized scheduled actions on the range.",,,,covers/10-finding-unwanted-processes.png
2026-09-29,Network Monitoring & Traffic Basics,"Looking at network packet structures, protocol headers, and using basic monitoring tools like tcpdump.",,,,covers/11-network-monitoring-traffic.png
2026-10-01,Analyzing Traffic for Incidents,"Using Wireshark on the range to review recorded network traffic and find unencrypted credentials or standard scanning signatures.",,,,covers/12-analyzing-traffic-incidents.png
2026-10-06,Web Infrastructure Basics: DNS,"How domain name resolution works, managing zones and basic records, and setting up a simple DNS server inside a local VM.",,,,covers/13-dns-basics.png
2026-10-08,DNS Auditing & Configuration Check,"Checking basic domain controller configurations and fixing common misconfigurations on the practice range.",,,,covers/14-dns-auditing.png
2026-10-15,Mid-Semester Practice Simulation,"A short practice run: 30 minutes to set up, 30 minutes defending a basic environment with help from club alumni, and 30 minutes to review.",,,,covers/15-mid-semester-practice-sim.png
2026-10-20,Introduction to Active Directory,"Why organizations centralize user management, covering Windows Server domains, organizational units, and basic trust setups.",,,,covers/16-intro-active-directory.png
2026-10-22,Active Directory Basics & Policy Controls,"Reviewing administrative rights on the range and using Group Policy Objects (GPOs) to apply standard security settings.",,,,covers/17-ad-policy-controls.png
2026-10-27,Web & Database Server Setup,"Standard system administration steps: installing Apache or Nginx web servers, connecting them to a SQL database backend, and basic user permissions.",,,,covers/18-web-db-server-setup.png
2026-10-29,Application Security & Log Review,"Securing the web and database setup on the range, adjusting access controls, and checking web server logs for irregular entries.",,,,covers/19-app-security-log-review.png
2026-11-03,Introduction to Log Collection,"Understanding system logs, Windows Event IDs, and how systems send logs across a network for centralized storage.",,,,covers/20-intro-log-collection.png
2026-11-05,Basic Centralized Monitoring,"Setting up simple monitoring agents (like Security Onion or Wazuh) on the range to collect data and view basic dashboards.",,,,covers/21-centralized-monitoring.png
2026-11-10,Basic Automation: Scripting,"Writing straightforward diagnostic scripts using a combination of Go, Python, Bash, and PowerShell to check system status.",,,,covers/22-basic-automation-scripting.png
2026-11-12,Using Scripts for Configuration Checks,"Running simple verification scripts across a few range hosts to check for unauthorized files or system changes.",,,,covers/23-scripts-config-checks.png
2026-11-17,System Backups & Recovery Planning,"Looking at backup strategies, system snapshots, and general recovery steps for keeping services running.",,,,covers/24-backups-recovery-planning.png
2026-11-19,System Recovery Practice,"An incident response exercise on the range focused on recovering standard web services or configurations from clear backups.",,,,covers/25-system-recovery-practice.png
2026-11-24,Competition Workflow & Communication,"How teams organize tasks under tight timelines: prioritizing incoming requests, tracking configuration changes, and maintaining simple logs.",,,,covers/26-competition-workflow.png
2026-12-01,Open Lab Project Day & Catch-up,"An open session managed by officers for finishing hardware setups, troubleshooting scripts, practicing on the range, or reviewing basic strategy.",,,,covers/27-open-lab-project-day.png
2026-12-03,End-of-Term Practice Run,"A final two-hour team defense exercise on the range featuring basic scenario updates, support from alumni, and a walk-through of the results.",,,,covers/28-end-of-term-practice-run.png
